schema,question,generated_sql_query
"
        CREATE TABLE author (
            author_id INTEGER PRIMARY KEY,
            author_name TEXT
        );

        CREATE TABLE book (
            book_id INTEGER PRIMARY KEY,
            book_title TEXT,
            publication_year INTEGER
        );

        CREATE TABLE author_book (
            author_id INTEGER,
            book_id INTEGER,
            FOREIGN KEY (author_id) REFERENCES author(author_id),
            FOREIGN KEY (book_id) REFERENCES book(book_id),
            PRIMARY KEY (author_id, book_id)
        );
        ",Find all books published after 2010.,SELECT book_title FROM book WHERE publication_year > 2010;
"
        CREATE TABLE employee (
            employee_id INTEGER PRIMARY KEY,
            employee_name TEXT,
            department TEXT,
            salary INTEGER
        );

        CREATE TABLE department (
            department_id INTEGER PRIMARY KEY,
            department_name TEXT
        );
        ",What is the average salary in the IT department?,SELECT AVG(T1.salary) FROM employee AS T1 INNER JOIN department AS T2 ON T1.department = T2.department_id WHERE T2.department_name = 'IT';
"
        CREATE TABLE sales (
            sale_id INTEGER PRIMARY KEY,
            product_name TEXT,
            sale_date DATE,
            quantity_sold INTEGER
        );
        ",List all products sold in 2021.,SELECT DISTINCT product_name FROM sales WHERE sale_date LIKE '2021%';
"
        CREATE TABLE student (
            student_id INTEGER PRIMARY KEY,
            student_name TEXT,
            age INTEGER
        );

        CREATE TABLE enrollment (
            enrollment_id INTEGER PRIMARY KEY,
            student_id INTEGER,
            course_id INTEGER,
            semester TEXT,
            FOREIGN KEY (student_id) REFERENCES student(student_id)
        );

        CREATE TABLE course (
            course_id INTEGER PRIMARY KEY,
            course_name TEXT
        );
        ",Find the courses in which students over 20 years old are enrolled.,SELECT T1.course_name FROM course AS T1 INNER JOIN enrollment AS T2 ON T1.course_id = T2.course_id INNER JOIN student AS T3 ON T2.student_id = T3.student_id WHERE T3.age > 20;
"
        CREATE TABLE customer (
            customer_id INTEGER PRIMARY KEY,
            customer_name TEXT,
            city TEXT
        );

        CREATE TABLE order (
            order_id INTEGER PRIMARY KEY,
            order_date DATE,
            customer_id INTEGER,
            amount INTEGER,
            FOREIGN KEY (customer_id) REFERENCES customer(customer_id)
        );
        ",List the total number of orders made by customers from 'New York'.,SELECT COUNT(T1.order_id) FROM order AS T1 INNER JOIN customer AS T2 ON T1.customer_id = T2.customer_id WHERE T2.city = 'New York';
"
        CREATE TABLE hospital (
            hospital_id INTEGER PRIMARY KEY,
            hospital_name TEXT,
            location TEXT
        );

        CREATE TABLE patient (
            patient_id INTEGER PRIMARY KEY,
            patient_name TEXT,
            admitted_date DATE,
            hospital_id INTEGER,
            FOREIGN KEY (hospital_id) REFERENCES hospital(hospital_id)
        );
        ",How many patients were admitted to hospitals in 'Los Angeles' after 2020?,SELECT COUNT(T1.patient_id) FROM patient AS T1 INNER JOIN hospital AS T2 ON T1.hospital_id = T2.hospital_id WHERE T2.location = 'Los Angeles' AND T1.admitted_date > '2020';
"
        CREATE TABLE teacher (
            teacher_id INTEGER PRIMARY KEY,
            teacher_name TEXT,
            subject TEXT
        );

        CREATE TABLE class (
            class_id INTEGER PRIMARY KEY,
            class_name TEXT,
            teacher_id INTEGER,
            FOREIGN KEY (teacher_id) REFERENCES teacher(teacher_id)
        );

        CREATE TABLE student (
            student_id INTEGER PRIMARY KEY,
            student_name TEXT,
            class_id INTEGER,
            FOREIGN KEY (class_id) REFERENCES class(class_id)
        );
        ",List all teachers who have more than 20 students.,SELECT T1.teacher_name FROM teacher AS T1 INNER JOIN class AS T2 ON T1.teacher_id = T2.teacher_id INNER JOIN student AS T3 ON T2.class_id = T3.class_id GROUP BY T1.teacher_id HAVING COUNT(T3.student_id) > 20;
"
        CREATE TABLE restaurant (
            restaurant_id INTEGER PRIMARY KEY,
            restaurant_name TEXT,
            city TEXT
        );

        CREATE TABLE review (
            review_id INTEGER PRIMARY KEY,
            review_date DATE,
            restaurant_id INTEGER,
            rating INTEGER,
            FOREIGN KEY (restaurant_id) REFERENCES restaurant(restaurant_id)
        );
        ",Find the restaurants with an average rating above 4.5.,SELECT T1.restaurant_name FROM restaurant AS T1 INNER JOIN review AS T2 ON T1.restaurant_id = T2.restaurant_id GROUP BY T1.restaurant_id HAVING AVG(T2.rating) > 4.5;
"
        CREATE TABLE flight (
            flight_id INTEGER PRIMARY KEY,
            airline TEXT,
            departure_city TEXT,
            arrival_city TEXT,
            duration INTEGER
        );
        ",Which flights from 'New York' to 'Los Angeles' have a duration of less than 6 hours?,SELECT flight_id FROM flight WHERE departure_city = 'New York' AND arrival_city = 'Los Angeles' AND duration < 6;
"
        CREATE TABLE match (
            match_id INTEGER PRIMARY KEY,
            team1 TEXT,
            team2 TEXT,
            score_team1 INTEGER,
            score_team2 INTEGER,
            match_date DATE
        );
        ",Which teams scored more than 3 goals in any match?,SELECT team1 FROM match WHERE score_team1 > 3 UNION SELECT team2 FROM match WHERE score_team2 > 3;
